Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
12/10/2016,NISS,4T,,GRY,X643194,IL,701 N. Sacramento,(773) 265-7605,6867523
12/10/2016,HOND,4D,,BLK,161T142,IL,701 N. Sacramento,(773) 265-7605,6867520
01/05/2017,FORD,LL,TK,WHI,N762509,IL,10300 S. Doty,(773) 568-8495,2810108
12/10/2016,FORD,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2810172
02/25/2017,FORD,VC,,,,IL,701 N. Sacramento,(773) 265-7605,6877934
02/25/2017,LINC,4D,,TAN,374T566,IL,701 N. Sacramento,(773) 265-7605,6877933
01/05/2017,HOND,VN,,SIL,Z548458,IL,10300 S. Doty,(773) 568-8495,2810175
02/25/2017,CHEV,4D,,BLU,Y730426,IL,701 N. Sacramento,(773) 265-7605,6877935
02/25/2017,DODG,LL,,SIL,V882846,IL,701 N. Sacramento,(773) 265-7605,6877930
01/05/2017,CHRY,4D,,PLE,9W24DL,AZ,10300 S. Doty,(773) 568-8495,2810194
12/10/2016,TOYT,4D,,SIL,N188246,IL,701 N. Sacramento,(773) 265-7605,6867614
02/25/2017,FORD,4D,,GRN,Q614207,IL,701 N. Sacramento,(773) 265-7605,6878059
01/05/2017,OLDS,VN,,TAN,R225569,IL,10300 S. Doty,(773) 568-8495,2810195
02/25/2017,SATR,2D,,BLK,A154819,IL,701 N. Sacramento,(773) 265-7605,6878058
01/31/2017,BMW,4D,,GRN,249S813,IL,701 N. Sacramento,(773) 265-1846,1535495
02/25/2017,NISS,4D,,WHI,V928279,IL,701 N. Sacramento,(773) 265-7605,6878061
01/31/2017,PONT,4D,,TAN,Q136488,IL,10300 S. Doty,(773) 568-8495,2812864
01/31/2017,GMC,PK,,BLK,1885342B,IL,10300 S. Doty,(773) 568-8495,2812862
01/31/2017,NISS,4D,,TAN,S854245,IL,10300 S. Doty,(773) 568-8495,2812869
01/31/2017,KIA,4D,,GRN,Q614744,IL,10300 S. Doty,(773) 568-8495,2812920
01/05/2017,JEEP,LL,,MAR,,IL,701 N. Sacramento,(773) 265-7605,6870679
01/31/2017,BUIC,4D,,GLD,Q631769,IL,701 N. Sacramento,(773) 265-7605,6874540
01/31/2017,JEEP,LL,TK,SIL,EBT4787,NC,10300 S. Doty,(773) 568-8495,2812866
01/31/2017,NISS,4D,,BLK,8935343,IL,10300 S. Doty,(773) 785-9752,1716788
01/05/2017,CHEV,4D,,WHI,107YWU,WI,400 E. Lower Wacker,(312) 744-7550,959874
01/05/2017,CHEV,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2810178
01/31/2017,BUIC,4D,,SIL,E241531,IL,701 N. Sacramento,(773) 265-7605,6874539
02/23/2017,HOND,2D,,RED,,IL,10300 S. Doty,(773) 568-8495,2815564
01/31/2017,NISS,4D,,SIL,V206338,IL,10300 S. Doty,(773) 568-8495,2812886
12/10/2016,DODG,LL,,DBL,Q970922,IL,10300 S. Doty,(773) 568-8495,2808268
01/31/2017,JEEP,LL,TK,RED,S385715,IL,10300 S. Doty,(773) 568-8495,2812887
01/31/2017,FORD,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6874543
02/23/2017,HOND,4D,,GLD,H842648,IL,701 N. Sacramento,(773) 265-7605,6877726
02/23/2017,CHRY,SD,,SIL,Q600946,IL,701 N. Sacramento,(773) 265-7605,6877728
01/31/2017,DODG,4D,,WHI,XWT556,IN,10300 S. Doty,(773) 568-8495,2812890
01/31/2017,JEEP,LL,,GRY,Q583686,IL,10300 S. Doty,(773) 568-8495,2812892
01/05/2017,FORD,4D,,BLU,E385164,IL,10300 S. Doty,(773) 568-8495,2810199
01/05/2017,PONT,4D,,RED,Z732350,IL,10300 S. Doty,(773) 568-8495,2810197
01/31/2017,HYUN,4D,,GRY,,,701 N. Sacramento,(773) 265-7605,6874555
01/06/2017,BMW,4D,,SIL,V581463,IL,10300 S. Doty,(773) 568-8495,2810231
01/31/2017,DODG,4D,,GRY,Z363233,IL,701 N. Sacramento,(773) 265-7605,6874553
01/31/2017,FORD,PK,TK,SIL,H953292,IL,701 N. Sacramento,(773) 265-7605,6874552
02/17/2017,BUIC,4D,,RED,Q987242,IL,10300 S. Doty,(773) 568-8495,2815018
02/17/2017,CHEV,4D,,GRY,V135894,IL,10300 S. Doty,(773) 568-8495,2815016
02/17/2017,NISS,4D,,BLK,R754836,IL,701 N. Sacramento,(773) 265-7605,6876875
02/17/2017,MERC,4T,,WHI,,IL,10300 S. Doty,(773) 568-8495,2815015
02/18/2017,FORD,4D,,BLK,Q145232,IL,10300 S. Doty,(773) 568-8495,2815033
02/18/2017,CHEV,VN,,GRN,,IL,10300 S. Doty,(773) 568-8495,2815034
01/31/2017,CADI,4D,,WHI,X863218,IL,10300 S. Doty,(773) 568-8495,2812875
02/23/2017,CHEV,SD,,BLK,Z574374,IL,701 N. Sacramento,(773) 265-7605,6877727
01/31/2017,HOND,2D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2812874
12/10/2016,NISS,VN,,WHI,E274941,IL,701 N. Sacramento,(773) 265-7605,6867682
02/23/2017,FORD,VN,TK,BLK,L765691,IL,701 N. Sacramento,(773) 265-7605,6877729
12/10/2016,TOYT,VN,,GRN,E524916,IL,701 N. Sacramento,(773) 265-7605,6867678
01/05/2017,CHEV,4D,,TAN,N795630,IL,10300 S. Doty,(773) 568-8495,2810113
01/31/2017,CHEV,4D,,BLU,467NSA,IN,10300 S. Doty,(773) 568-8495,2812880
01/05/2017,ZCZY,LL,,WHI,,IL,701 N. Sacramento,(773) 265-1846,1535388
02/23/2017,CHRY,LL,,GRY,AG58216,IL,10300 S. Doty,(773) 568-8495,2815604
01/31/2017,CHEV,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2812881
01/04/2017,CHEV,PK,,GRY,1604864B,IL,10300 S. Doty,(773) 568-8495,2809970
01/05/2017,ZCZY,LL,,BLK,,IL,701 N. Sacramento,(773) 265-1846,1535387
01/31/2017,CHEV,VN,,GRY,00160097,IL,701 N. Sacramento,(773) 265-7605,6874542
02/23/2017,CHEV,LL,,BLK,,,701 N. Sacramento,(773) 265-7605,6877756
02/23/2017,BUIC,LL,,BLU,Y739496,IL,701 N. Sacramento,(773) 265-7605,6877753
01/06/2017,PONT,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2810224
01/06/2017,PONT,4D,,SIL,Z818861,IL,10300 S. Doty,(773) 568-8495,2810221
02/23/2017,NISS,4D,,GLD,Q927218,IL,10300 S. Doty,(773) 568-8495,2815605
02/24/2017,BUIC,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6877767
02/24/2017,DODG,4D,,BLK,K859646,IL,10300 S. Doty,(773) 568-8495,2815606
12/11/2016,FORD,LL,TK,GRY,N416798,IL,701 N. Sacramento,(773) 265-7605,6867786
02/24/2017,HOND,4D,,WHI,E421844,IL,10300 S. Doty,(773) 568-8495,2815672
01/06/2017,DODG,2D,,RED,Q468059,IL,10300 S. Doty,(773) 568-8495,2810260
12/11/2016,TOYT,4D,,RED,Z500194,IL,10300 S. Doty,(773) 568-8495,2808389
01/06/2017,PONT,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2810320
02/24/2017,TOYT,4D,,RED,Z543079,IL,701 N. Sacramento,(773) 265-7605,6877921
02/24/2017,NISS,4D,,WHI,Z887157,IL,400 E. Lower Wacker,(312) 744-7550,962468
02/25/2017,MERC,4D,,GRY,Q279951,IL,701 N. Sacramento,(773) 265-7605,6878053
02/23/2017,BUIC,LL,,SIL,,IL,10300 S. Doty,(773) 785-9752,1716851
01/31/2017,AUDI,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6874548
01/05/2017,PONT,LL,,BLK,Y86793,IL,10300 S. Doty,(773) 568-8495,2810132
12/10/2016,CHRY,4D,,DBL,Z538361,IL,10300 S. Doty,(773) 568-8495,2808272
01/31/2017,CHEV,4D,,GRY,Z273353,IL,701 N. Sacramento,(773) 265-7605,6874549
02/23/2017,HYUN,4D,,BLU,Q671897,IL,10300 S. Doty,(773) 568-8495,2815566
01/31/2017,BUIC,4D,,TAN,968S037,IL,701 N. Sacramento,(773) 265-7605,6874551
02/23/2017,GDAN,SE,TL,WHI,,IL,10300 S. Doty,(773) 568-8495,2815565
02/23/2017,CHEV,4D,,BLK,Q624920,IL,701 N. Sacramento,(773) 265-7605,6877724
02/23/2017,VOLK,4D,,BLK,Q731800,IL,10300 S. Doty,(773) 568-8495,2815567
01/05/2017,TOYT,4D,,BLK,S924276,IL,400 E. Lower Wacker,(312) 744-7550,959871
02/24/2017,CHEV,LL,,GRY,q147485,IL,701 N. Sacramento,(773) 265-7605,6877819
